n,m,time,memory
5,5,0.0000,16
5,5,0.0000,12
5,4,0.0000,20
5,6,0.0000,20
5,6,0.0000,20
5,6,0.0000,20
5,8,0.0000,12
5,9,0.0000,20
5,9,0.0000,20
10,17,0.0000,28
10,20,0.0000,28
10,9,0.0000,28
10,29,0.0000,28
10,24,0.0000,28
10,30,0.0000,32
10,36,0.0000,32
10,34,0.0000,32
10,31,0.0000,28
15,20,9.0000,500
15,29,9.0000,496
15,22,10.0000,500
15,59,4.0000,500
15,40,8.0000,504
15,60,4.0000,500
15,86,1.0000,500
15,63,4.0000,500
15,70,3.0000,500
20,24,430.0000,20580
20,19,414.0000,20580
20,34,436.0000,20580
20,69,333.0000,20580
20,79,250.0000,20580
20,45,432.0000,20572
20,106,141.0000,20580
20,131,86.0000,20580
20,112,107.0000,20580
25,35,17894.0000,819320
25,51,18725.0000,819312
25,49,18473.0000,819312
25,66,17350.0000,819312
25,65,17678.0000,819320
25,85,14940.0000,819312
25,185,2950.0000,819320
25,135,6307.0000,819312
25,153,4511.0000,819312
