n,m,time,memory
5,5,1.0000,972
5,5,1.0000,960
5,4,1.0000,968
5,6,1.0000,960
5,6,1.0000,968
5,6,1.0000,968
5,8,1.0000,956
5,9,1.0000,956
5,9,1.0000,960
10,17,4.0000,1128
10,20,2.0000,1128
10,9,5.0000,1148
10,29,2.0000,1108
10,24,4.0000,1128
10,30,3.0000,1108
10,36,2.0000,1092
10,34,3.0000,1104
10,31,2.0000,1100
15,20,30.0000,1696
15,29,32.0000,1572
15,22,22.0000,1696
15,59,7.0000,1492
15,40,14.0000,1600
15,60,10.0000,1528
15,86,12.0000,1412
15,63,20.0000,1520
15,70,14.0000,1456
20,24,1858.0000,2876
20,19,325.0000,2716
20,34,13818.0000,4124
20,69,81.0000,2532
20,79,135.0000,2428
20,45,1225.0000,2688
20,106,71.0000,2320
20,131,58.0000,2148
20,112,112.0000,2252
25,35,2044.0000,4276
25,51,3497.0000,4676
25,49,8950.0000,4380
25,66,1174.0000,4028
25,65,2089.0000,4028
25,85,547.0000,4012
25,185,336.0000,3392
25,135,922.0000,3692
25,153,388.0000,3700
